,index,title,pubDate,guid,link,description
0,6684,Can I refuse to work?,"Wed, 10 Aug 2022 15:46:18 GMT",https://www.bbc.co.uk/news/business-62147992,https://www.bbc.co.uk/news/business-62147992?at_medium=RSS&at_campaign=KARANGA,"With much of the UK enduring another period of hot weather, some workers will face very high temperatures."
1,9267,'Liz Truss the Brief?' World reacts to UK political turmoil,"Mon, 17 Oct 2022 11:35:12 GMT",https://www.bbc.co.uk/news/world-63285480,https://www.bbc.co.uk/news/world-63285480?at_medium=RSS&at_campaign=KARANGA,The UK's political chaos has been watched around the world - and commentators haven't held back.
2,7387,Rationing energy is nothing new for off-grid community,"Wed, 31 Aug 2022 05:20:18 GMT",https://www.bbc.co.uk/news/uk-scotland-highlands-islands-62686916,https://www.bbc.co.uk/news/uk-scotland-highlands-islands-62686916?at_medium=RSS&at_campaign=KARANGA,Scoraig in the north west Highlands has long had to make careful use of its electricity supply.
3,767,The hunt for superyachts of sanctioned Russian oligarchs,"Tue, 22 Mar 2022 14:37:01 GMT",https://www.bbc.co.uk/news/60739336,https://www.bbc.co.uk/news/60739336?at_medium=RSS&at_campaign=KARANGA,"Wealthy Russians sanctioned by the US, EU and UK are having to find places they can keep their assets safe."
4,3712,Platinum Jubilee: 70 years of the Queen in 70 seconds,"Wed, 01 Jun 2022 23:17:33 GMT",https://www.bbc.co.uk/news/uk-61660128,https://www.bbc.co.uk/news/uk-61660128?at_medium=RSS&at_campaign=KARANGA,A quick look back at the Queen's 70 years on the throne and her past jubilee speeches.
5,8967,Red Bull found guilty of breaking Formula 1's budget cap,"Mon, 10 Oct 2022 15:23:47 GMT",https://www.bbc.co.uk/sport/formula1/63204082,https://www.bbc.co.uk/sport/formula1/63204082?at_medium=RSS&at_campaign=KARANGA,"Red Bull are found guilty of breaking Formula 1's budget cap by the sport's governing body, the FIA."
6,10858,World Triathlon Championship Series: Flora Duffy beats Georgia Taylor-Brown to women's title,"Fri, 25 Nov 2022 14:22:09 GMT",https://www.bbc.co.uk/sport/triathlon/63756049,https://www.bbc.co.uk/sport/triathlon/63756049?at_medium=RSS&at_campaign=KARANGA,Bermuda's Flora Duffy gets the better of Britain's Georgia Taylor-Brown to win a record fourth World Triathlon title.
7,14914,Terry Hall: Coventry scooter ride-out pays tribute to singer,"Sun, 19 Mar 2023 16:42:11 GMT",https://www.bbc.co.uk/news/uk-england-coventry-warwickshire-65006801,https://www.bbc.co.uk/news/uk-england-coventry-warwickshire-65006801?at_medium=RSS&at_campaign=KARANGA,Hundreds of people ride through Coventry on what would have been the singer's 64th birthday.
8,8934,Post Office and Fujitsu to face inquiry over Horizon scandal,"Mon, 10 Oct 2022 21:00:45 GMT",https://www.bbc.co.uk/news/business-63205335,https://www.bbc.co.uk/news/business-63205335?at_medium=RSS&at_campaign=KARANGA,The public inquiry is taking further evidence as it investigates the wrongful convictions of postmasters.
9,4879,'Pavement parking frightens me',"Fri, 01 Jul 2022 23:02:09 GMT",https://www.bbc.co.uk/news/uk-england-nottinghamshire-61980720,https://www.bbc.co.uk/news/uk-england-nottinghamshire-61980720?at_medium=RSS&at_campaign=KARANGA,"Ted, who is blind, hopes people will reconsider parking their vehicles on pavements."
10,9954,UK interest rates: How will the rise affect you and how high could it go?,"Thu, 03 Nov 2022 12:15:47 GMT",https://www.bbc.co.uk/news/business-57764601,https://www.bbc.co.uk/news/business-57764601?at_medium=RSS&at_campaign=KARANGA,"Interest rates have seen their biggest jump for decades, so how could this affect you?"
11,8642,They stayed for the storm - what happens now?,"Sun, 02 Oct 2022 18:54:13 GMT",https://www.bbc.co.uk/news/world-us-canada-63105430,https://www.bbc.co.uk/news/world-us-canada-63105430?at_medium=RSS&at_campaign=KARANGA,Florida residents face tough choices about whether to stay or leave in the aftermath of Hurricane Ian.
12,14635,Six Nations: Can Scotland's best since '99 beat best Ireland ever?,"Sat, 11 Mar 2023 18:54:43 GMT",https://www.bbc.co.uk/sport/rugby-union/64918165,https://www.bbc.co.uk/sport/rugby-union/64918165?at_medium=RSS&at_campaign=KARANGA,"Scotland host Ireland at Murrayfield with the Six Nations title and the Triple Crown on the line. It promises to be an epic, writes Tom English."
13,9219,How long can Liz Truss survive as prime minister?,"Mon, 17 Oct 2022 01:08:18 GMT",https://www.bbc.co.uk/news/uk-politics-63280682,https://www.bbc.co.uk/news/uk-politics-63280682?at_medium=RSS&at_campaign=KARANGA,It's possible the appointment of Mr Hunt will buy the PM some time. But will it be enough?
14,3753,Platinum Jubilee: Beacons light across the globe to celebrate Queen's reign,"Thu, 02 Jun 2022 23:06:37 GMT",https://www.bbc.co.uk/news/uk-61678181,https://www.bbc.co.uk/news/uk-61678181?at_medium=RSS&at_campaign=KARANGA,"More than 3,500 beacons were lit in the UK and Commonwealth nations."
15,4054,Top student loan interest rate cut by 5% in England,"Fri, 10 Jun 2022 23:32:29 GMT",https://www.bbc.co.uk/news/education-61765891,https://www.bbc.co.uk/news/education-61765891?at_medium=RSS&at_campaign=KARANGA,"The government says the 7.3% cap offers ""peace of mind for graduates"" as the cost of living grows."
16,9998,Russians said they’d take my baby: A medic’s story,"Sat, 05 Nov 2022 00:13:29 GMT",https://www.bbc.co.uk/news/world-europe-63464868,https://www.bbc.co.uk/news/world-europe-63464868?at_medium=RSS&at_campaign=KARANGA,A Ukrainian woman suffered months of poor treatment and conditions while pregnant in a Russian prison.
